mathieu,CoudeD,173.763253711
mathieu,CoudeD,235.793317139
mathieu,EpauleD,221.822232877
mathieu,EpauleG,225.004267666
mathieu,EpauleG,244.514276855
mathieu,GenouxD,243.322829218
mathieu,GenouxD,159.153402405
mathieu,GenouxG,244.955747855
mathieu,GenouxG,247.83301943
mathieu,PoignetD,217.458943354
mathieu,PoignetD,222.298808987
mathieu,Tete,242.309131733
mathieu,Tete,254.618311151
mathieu,Tete,251.461944623
mathieu,CoudeD,173.763253711
mathieu,CoudeD,235.793317139
mathieu,EpauleD,221.822232877
mathieu,EpauleG,225.004267666
mathieu,EpauleG,244.514276855
mathieu,GenouxD,243.322829218
mathieu,GenouxD,159.153402405
mathieu,GenouxG,244.955747855
mathieu,GenouxG,247.83301943
mathieu,PoignetD,217.458943354
mathieu,PoignetD,222.298808987
mathieu,Tete,242.309131733
mathieu,Tete,254.618311151
mathieu,Tete,251.461944623
